행정구역(시군구)별,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
영동군,44730,22385,22345,44684,22374,22310,44657,22371,22286
증평군,37321,19445,17876,37331,19448,17883,37342,19459,17883
진천군,85842,45363,40479,85802,45378,40424,85847,45414,40433
괴산군,36835,18991,17844,36779,18957,17822,36748,18929,17819
음성군,91825,48781,43044,91822,48797,43025,91787,48791,42996
단양군,27687,14097,13590,27685,14095,13590,27685,14093,13592
충청남도,2124650,1087705,1036945,2125333,1088126,1037207,2125833,1088548,1037285
당진시,168673,89905,78768,168846,90026,78820,169071,90192,78879
천안시,657816,336825,320991,657984,336952,321032,658213,337105,321108
동남구,257408,130451,126957,257777,130626,127151,257972,130707,127265
서북구,400408,206374,194034,400207,206326,193881,400241,206398,193843
공주시,102697,51293,51404,102747,51289,51458,102731,51280,51451
보령시,96756,49036,47720,96764,49031,47733,96666,48956,47710
아산시,336690,175484,161206,336871,175601,161270,337007,175693,161314
서산시,176150,91968,84182,176110,91982,84128,176085,91986,84099
논산시,111914,55922,55992,111822,55878,55944,111717,55845,55872
계룡시,44918,22347,22571,45256,22510,22746,45523,22664,22859
금산군,50318,25394,24924,50333,25403,24930,50314,25389,24925
부여군,61956,30812,31144,61903,30789,31114,61800,30735,31065
서천군,49732,24581,25151,49730,24571,25159,49620,24518,25102
청양군,30280,15444,14836,30288,15448,14840,30271,15452,14819
홍성군,97288,48492,48796,96961,48331,48630,96952,48345,48607
예산군,78451,39351,39100,78689,39459,39230,78768,39473,39295
태안군,61011,30851,30160,61029,30856,30173,61095,30915,30180
전라북도,1765175,878456,886719,1764181,877966,886215,1763004,877382,885622
전주시,647987,318416,329571,647306,318054,329252,646728,317758,328970
완산구,330880,160891,169989,330631,160769,169862,330231,160537,169694
덕진구,317107,157525,159582,316675,157285,159390,316497,157221,159276
전주시효자출장소,0,0,0,0,0,0,0,0,0
군산시,261601,132513,129088,261385,132396,128989,261131,132240,128891
익산시,272602,135758,136844,272320,135610,136710,272069,135472,136597
익산시함열출장소,0,0,0,0,0,0,0,0,0
정읍시,104590,52062,52528,104458,51986,52472,104350,51924,52426
남원시,77549,38024,39525,77503,37994,39509,77415,37956,39459
김제시,81893,40738,41155,81886,40756,41130,81883,40754,41129
완주군,94265,48459,45806,94776,48740,46036,95186,48965,46221
