"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"충청남도 예산군 삽교읍(4481025300)","14,478","14,478","1,181","1,109","1,395","2,284","1,995","2,128","2,124","1,219","915","126","2","7,202","7,202","597","545","726","1,201","1,055","1,081","1,061","567","339","30","0","7,276","7,276","584","564","669","1,083","940","1,047","1,063","652","576","96","2"
"충청남도 예산군 대술면(4481031000)","2,335","2,335","37","64","101","100","188","358","641","468","326","48","4","1,191","1,191","17","33","57","55","131","210","334","227","115","11","1","1,144","1,144","20","31","44","45","57","148","307","241","211","37","3"
"충청남도 예산군 신양면(4481032000)","2,930","2,930","45","132","130","126","254","419","767","566","420","68","3","1,491","1,491","21","75","87","79","148","243","388","269","164","17","0","1,439","1,439","24","57","43","47","106","176","379","297","256","51","3"
"충청남도 예산군 광시면(4481033000)","3,013","3,013","55","110","133","110","232","495","749","548","512","68","1","1,499","1,499","30","61","74","59","141","288","404","262","167","13","0","1,514","1,514","25","49","59","51","91","207","345","286","345","55","1"
"충청남도 예산군 대흥면(4481034000)","1,679","1,679","23","52","68","59","105","270","483","347","226","46","0","860","860","11","31","38","36","72","157","244","177","87","7","0","819","819","12","21","30","23","33","113","239","170","139","39","0"
"충청남도 예산군 응봉면(4481035000)","2,427","2,427","39","119","162","126","218","418","628","367","300","48","2","1,258","1,258","16","67","106","81","132","222","338","170","111","15","0","1,169","1,169","23","52","56","45","86","196","290","197","189","33","2"
"충청남도 예산군 덕산면(4481036000)","6,469","6,469","197","348","399","395","631","1,244","1,535","955","643","118","4","3,193","3,193","97","191","232","225","340","653","737","452","231","35","0","3,276","3,276","100","157","167","170","291","591","798","503","412","83","4"
"충청남도 예산군 봉산면(4481037000)","2,430","2,430","62","129","110","126","221","357","610","389","347","78","1","1,227","1,227","31","62","62","77","135","198","321","182","144","15","0","1,203","1,203","31","67","48","49","86","159","289","207","203","63","1"
"충청남도 예산군 고덕면(4481038000)","4,277","4,277","83","215","235","192","361","669","1,012","805","617","82","6","2,196","2,196","38","116","142","114","223","418","509","381","239","14","2","2,081","2,081","45","99","93","78","138","251","503","424","378","68","4"
"충청남도 예산군 신암면(4481039000)","3,339","3,339","60","121","180","174","277","505","850","597","497","78","0","1,712","1,712","35","62","116","118","156","309","456","266","174","20","0","1,627","1,627","25","59","64","56","121","196","394","331","323","58","0"
"충청남도 예산군 오가면(4481040000)","4,022","4,022","61","159","220","196","338","691","1,026","713","539","78","1","2,100","2,100","33","87","140","126","215","405","553","322","203","16","0","1,922","1,922","28","72","80","70","123","286","473","391","336","62","1"
"충청남도 태안군 (4482500000)","61,095","61,095","2,448","4,092","4,387","4,203","7,147","10,369","13,346","9,053","5,145","881","24","30,915","30,915","1,238","2,111","2,649","2,327","3,952","5,645","6,560","4,395","1,836","195","7","30,180","30,180","1,210","1,981","1,738","1,876","3,195","4,724","6,786","4,658","3,309","686","17"
"충청남도 태안군 태안읍(4482525000)","28,994","28,994","1,761","2,733","2,700","2,714","4,253","4,913","4,988","3,121","1,566","235","10","14,692","14,692","907","1,385","1,583","1,459","2,213","2,598","2,452","1,489","547","56","3","14,302","14,302","854","1,348","1,117","1,255","2,040","2,315","2,536","1,632","1,019","179","7"
